runkey,groupofcontracts,type,maturityidentifier,rate
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,1M,-5.02E-6
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,2M,3.2E-4
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,3M,6.18E-4
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,4M,8.9E-4
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,5M,0.001135239
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,6M,0.001353949
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,7M,0.001546149
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,8M,0.001711808
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,9M,0.001850964
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,10M,0.002086086
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,11M,0.002410828
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,12M,0.002700523
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,13M,0.002955078
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,14M,0.003174564
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,15M,0.003358917
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,16M,0.003508131
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,17M,0.003622186
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,18M,0.003701076
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,19M,0.003744758
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,20M,0.003753217
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,21M,0.003726465
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,22M,0.003757496
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,23M,0.003863109
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,24M,0.003960231
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,25M,0.004048724
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,26M,0.00412868
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,27M,0.004200035
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,28M,0.004262818
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,29M,0.004317012
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,30M,0.004362625
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,31M,0.004399627
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,32M,0.004428012
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,33M,0.004447801
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,34M,0.004470946
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,35M,0.00450618
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,36M,0.004544646
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,37M,0.004586264
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,38M,0.004631095
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,39M,0.00467908
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,40M,0.004730296
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,41M,0.004784696
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,42M,0.004842308
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,43M,0.004903099
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,44M,0.00496711
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,45M,0.005034332
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,46M,0.00509017
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,47M,0.005133663
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,48M,0.005182818
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,49M,0.005237568
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,50M,0.005297991
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,51M,0.005364008
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,52M,0.005435722
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,53M,0.005513068
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,54M,0.005596089
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,55M,0.005684769
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,56M,0.005779129
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,57M,0.005879191
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,58M,0.005960523
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,59M,0.006024216
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,60M,0.006094334
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,61M,0.006170812
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,62M,0.006253769
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,63M,0.006343093
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,64M,0.006438904
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,65M,0.00654114
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,66M,0.006649837
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,67M,0.006765021
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,68M,0.006886692
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,69M,0.007014853
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,70M,0.007135624
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,71M,0.007243318
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,72M,0.007352469
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,73M,0.007463008
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,74M,0.007575073
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,75M,0.007688523
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,76M,0.007803508
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,77M,0.007919913
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,78M,0.008037804
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,79M,0.008157187
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,80M,0.008278056
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,81M,0.008400394
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,82M,0.008537655
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,83M,0.00868469
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,84M,0.008821656
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,85M,0.008948522
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,86M,0.009065327
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,87M,0.009171966
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,88M,0.009268537
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,89M,0.009354887
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,90M,0.009431063
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,91M,0.009497057
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,92M,0.009552809
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,93M,0.009598295
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,94M,0.009675377
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,95M,0.0097818
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,96M,0.00987964
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,97M,0.00996884
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,98M,0.010049475
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,99M,0.010121439
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,100M,0.010184796
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,101M,0.010239439
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,102M,0.010285384
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,103M,0.010322632
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,104M,0.010351138
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,105M,0.010370845
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,106M,0.010407643
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,107M,0.010465115
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,108M,0.010518875
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,109M,0.010568866
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,110M,0.010615199
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,111M,0.010657766
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,112M,0.010696643
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,113M,0.010731723
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,114M,0.010763057
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,115M,0.010790647
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,116M,0.010814448
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,117M,0.010834437
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,118M,0.010864504
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,119M,0.010903238
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,120M,0.010940674
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,121M,0.010976688
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,122M,0.011011457
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,123M,0.011044856
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,124M,0.011076942
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,125M,0.011107662
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,126M,0.011137049
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,127M,0.011165088
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,128M,0.011191799
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,129M,0.011217094
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,130M,0.011253423
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,131M,0.011303256
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,132M,0.011343858
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,133M,0.011375117
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,134M,0.01139714
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,135M,0.01140983
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,136M,0.011413173
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,137M,0.011407143
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,138M,0.011391703
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,139M,0.011366852
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,140M,0.01133259
